animal;group;session;selection_position;trial;selection;estimate
cas;casear;19077;middle;261;dynamic;0,35
cas;casear;19077;right;16;pictures;0,06
cas;casear;19077;right;16;static;0,88
cas;casear;19077;right;16;dynamic;0,06
cas;casear;19084;left;17;pictures;0,12
cas;casear;19084;left;17;static;0,88
cas;casear;19084;left;17;dynamic;0
cas;casear;19084;middle;373;pictures;0,01
cas;casear;19084;middle;373;static;0,9
cas;casear;19084;middle;373;dynamic;0,1
cas;casear;19084;right;3;pictures;0,33
cas;casear;19084;right;3;static;0,33
cas;casear;19084;right;3;dynamic;0,33
cas;casear;19091;left;30;pictures;0,53
cas;casear;19091;left;30;static;0,43
cas;casear;19091;left;30;dynamic;0,03
cas;casear;19091;middle;425;pictures;0
cas;casear;19091;middle;425;static;0,85
cas;casear;19091;middle;425;dynamic;0,15
cas;casear;19091;right;20;pictures;0,95
cas;casear;19091;right;20;static;0,05
cas;casear;19091;right;20;dynamic;0
cas;casear;19098;left;34;pictures;0
cas;casear;19098;left;34;static;1
cas;casear;19098;left;34;dynamic;0
cas;casear;19098;middle;618;pictures;0,19
cas;casear;19098;middle;618;static;0,46
cas;casear;19098;middle;618;dynamic;0,35
cas;casear;19098;right;14;pictures;0,43
cas;casear;19098;right;14;static;0
cas;casear;19098;right;14;dynamic;0,57
cas;casear;19105;left;89;pictures;0,11
cas;casear;19105;left;89;static;0,63
cas;casear;19105;left;89;dynamic;0,26
cas;casear;19105;middle;1026;pictures;0,05
cas;casear;19105;middle;1026;static;0,58
cas;casear;19105;middle;1026;dynamic;0,37
cas;casear;19105;right;3;pictures;0
cas;casear;19105;right;3;static;1
cas;casear;19105;right;3;dynamic;0
cas;casear;19112;left;95;pictures;0,07
cas;casear;19112;left;95;static;0,87
cas;casear;19112;left;95;dynamic;0,05
cas;casear;19112;middle;491;pictures;0,17
cas;casear;19112;middle;491;static;0,4
cas;casear;19112;middle;491;dynamic;0,44
cas;casear;19112;right;3;pictures;0
cas;casear;19112;right;3;static;1
cas;casear;19112;right;3;dynamic;0
cas;casear;19119;left;84;pictures;0,13
cas;casear;19119;left;84;static;0,87
cas;casear;19119;left;84;dynamic;0
cas;casear;19119;middle;211;pictures;0,45
cas;casear;19119;middle;211;static;0
cas;casear;19119;middle;211;dynamic;0,55
cas;casear;19119;right;2;pictures;0
cas;casear;19119;right;2;static;1
cas;casear;19119;right;2;dynamic;0
cla;alwcla;19126;left;250;pictures;0,39
cla;alwcla;19126;left;250;static;0,37
cla;alwcla;19126;left;250;dynamic;0,24
cla;alwcla;19126;middle;82;pictures;0,18
cla;alwcla;19126;middle;82;static;0,35
cla;alwcla;19126;middle;82;dynamic;0,46
cla;alwcla;19126;right;241;pictures;0,32
cla;alwcla;19126;right;241;static;0,12
cla;alwcla;19126;right;241;dynamic;0,56
cla;alwcla;19133;left;148;pictures;0,47
cla;alwcla;19133;left;148;static;0,16
cla;alwcla;19133;left;148;dynamic;0,36
cla;alwcla;19133;middle;14;pictures;0,29
cla;alwcla;19133;middle;14;static;0,14
cla;alwcla;19133;middle;14;dynamic;0,57
cla;alwcla;19133;right;89;pictures;0,48
cla;alwcla;19133;right;89;static;0,4
cla;alwcla;19133;right;89;dynamic;0,11
cla;alwcla;19140;left;204;pictures;0,47
cla;alwcla;19140;left;204;static;0,03
cla;alwcla;19140;left;204;dynamic;0,5
cla;alwcla;19140;middle;37;pictures;0
cla;alwcla;19140;middle;37;static;0,95
cla;alwcla;19140;middle;37;dynamic;0,05
cla;alwcla;19140;right;119;pictures;0,74
cla;alwcla;19140;right;119;static;0,01
cla;alwcla;19140;right;119;dynamic;0,25
cla;alwcla;19147;left;199;pictures;0,03
cla;alwcla;19147;left;199;static;0,69
cla;alwcla;19147;left;199;dynamic;0,29
cla;alwcla;19147;middle;71;pictures;0,1
cla;alwcla;19147;middle;71;static;0,58
cla;alwcla;19147;middle;71;dynamic;0,32
cla;alwcla;19147;right;55;pictures;0,93
cla;alwcla;19147;right;55;static;0
cla;alwcla;19147;right;55;dynamic;0,07
cla;alwcla;19154;left;115;pictures;0,33
cla;alwcla;19154;left;115;static;0,64
cla;alwcla;19154;left;115;dynamic;0,03
cla;alwcla;19154;middle;90;pictures;0,52
cla;alwcla;19154;middle;90;static;0,21
cla;alwcla;19154;middle;90;dynamic;0,27
cla;alwcla;19154;right;22;pictures;0,27
cla;alwcla;19154;right;22;static;0,23
cla;alwcla;19154;right;22;dynamic;0,5
cla;alwcla;19168;left;325;pictures;0,07
cla;alwcla;19168;left;325;static;0,57
cla;alwcla;19168;left;325;dynamic;0,36
cla;alwcla;19168;middle;210;pictures;0,1
cla;alwcla;19168;middle;210;static;0,64
cla;alwcla;19168;middle;210;dynamic;0,27
cla;alwcla;19168;right;76;pictures;0,95
cla;alwcla;19168;right;76;static;0
cla;alwcla;19168;right;76;dynamic;0,05
cla;alwcla;19175;left;240;pictures;0,2
cla;alwcla;19175;left;240;static;0,7
cla;alwcla;19175;left;240;dynamic;0,1
cla;alwcla;19175;middle;173;pictures;0,14
cla;alwcla;19175;middle;173;static;0,68
cla;alwcla;19175;middle;173;dynamic;0,18
cla;alwcla;19175;right;42;pictures;0,9
cla;alwcla;19175;right;42;static;0
cla;alwcla;19175;right;42;dynamic;0,1
cur;curpin;19126;left;1;pictures;0
cur;curpin;19126;left;1;static;1
cur;curpin;19126;left;1;dynamic;0
cur;curpin;19126;middle;11;pictures;0
cur;curpin;19126;middle;11;static;0,91
cur;curpin;19126;middle;11;dynamic;0,09
cur;curpin;19126;right;15;pictures;1
cur;curpin;19126;right;15;static;0
cur;curpin;19126;right;15;dynamic;0
cur;curpin;19140;left;11;pictures;0,55
cur;curpin;19140;left;11;static;0
cur;curpin;19140;left;11;dynamic;0,45
cur;curpin;19140;middle;3;pictures;0
cur;curpin;19140;middle;3;static;1
cur;curpin;19140;middle;3;dynamic;0
cur;curpin;19140;right;3;pictures;0,67
cur;curpin;19140;right;3;static;0,33
cur;curpin;19140;right;3;dynamic;0
cur;curpin;19154;left;12;pictures;0,75
cur;curpin;19154;left;12;static;0
cur;curpin;19154;left;12;dynamic;0,25
cur;curpin;19154;middle;145;pictures;0
cur;curpin;19154;middle;145;static;1
cur;curpin;19154;middle;145;dynamic;0
cur;curpin;19154;right;46;pictures;0,37
cur;curpin;19154;right;46;static;0
cur;curpin;19154;right;46;dynamic;0,63
cur;curpin;19161;left;79;pictures;0,43
cur;curpin;19161;left;79;static;0,57
cur;curpin;19161;left;79;dynamic;0
cur;curpin;19161;middle;95;pictures;0
cur;curpin;19161;middle;95;static;0,94
cur;curpin;19161;middle;95;dynamic;0,06
cur;curpin;19161;right;41;pictures;0,54
cur;curpin;19161;right;41;static;0,37
cur;curpin;19161;right;41;dynamic;0,1
cur;curpin;19168;left;14;pictures;0,57
cur;curpin;19168;left;14;static;0,07
cur;curpin;19168;left;14;dynamic;0,36
cur;curpin;19168;middle;17;pictures;0
cur;curpin;19168;middle;17;static;0,94
cur;curpin;19168;middle;17;dynamic;0,06
cur;curpin;19168;right;19;pictures;0,47
cur;curpin;19168;right;19;static;0,47
cur;curpin;19168;right;19;dynamic;0,05
cur;curpin;19175;left;4;pictures;0
cur;curpin;19175;left;4;static;1
cur;curpin;19175;left;4;dynamic;0
cur;curpin;19175;right;2;pictures;1
cur;curpin;19175;right;2;static;0
cur;curpin;19175;right;2;dynamic;0
der;derelm;19126;left;83;pictures;0,18
der;derelm;19126;left;83;static;0,22
der;derelm;19126;left;83;dynamic;0,6
der;derelm;19126;middle;140;pictures;0,11
der;derelm;19126;middle;140;static;0,32
der;derelm;19126;middle;140;dynamic;0,56
der;derelm;19126;right;214;pictures;0,51
der;derelm;19126;right;214;static;0,22
der;derelm;19126;right;214;dynamic;0,27
der;derelm;19133;left;318;pictures;0,3
der;derelm;19133;left;318;static;0,64
der;derelm;19133;left;318;dynamic;0,07
der;derelm;19133;middle;326;pictures;0,2
der;derelm;19133;middle;326;static;0,57
der;derelm;19133;middle;326;dynamic;0,23
der;derelm;19133;right;492;pictures;0,54
der;derelm;19133;right;492;static;0,2
der;derelm;19133;right;492;dynamic;0,26
der;derelm;19140;left;85;pictures;0,26
der;derelm;19140;left;85;static;0,65
der;derelm;19140;left;85;dynamic;0,09
der;derelm;19140;middle;414;pictures;0,04
der;derelm;19140;middle;414;static;0,93
der;derelm;19140;middle;414;dynamic;0,03
der;derelm;19140;right;162;pictures;0,59
der;derelm;19140;right;162;static;0
der;derelm;19140;right;162;dynamic;0,41
der;derelm;19147;left;168;pictures;0,29
der;derelm;19147;left;168;static;0,68
der;derelm;19147;left;168;dynamic;0,03
der;derelm;19147;middle;682;pictures;0,03
der;derelm;19147;middle;682;static;0,91
der;derelm;19147;middle;682;dynamic;0,07
der;derelm;19147;right;132;pictures;0,27
der;derelm;19147;right;132;static;0
der;derelm;19147;right;132;dynamic;0,73
der;derelm;19154;left;147;pictures;0,04
der;derelm;19154;left;147;static;0,88
der;derelm;19154;left;147;dynamic;0,07
der;derelm;19154;middle;975;pictures;0,05
der;derelm;19154;middle;975;static;0,87
der;derelm;19154;middle;975;dynamic;0,09
der;derelm;19154;right;104;pictures;0,32
der;derelm;19154;right;104;static;0,63
der;derelm;19154;right;104;dynamic;0,05
der;derelm;19161;left;352;pictures;0,09
der;derelm;19161;left;352;static;0,89
der;derelm;19161;left;352;dynamic;0,02
der;derelm;19161;middle;1567;pictures;0,04
der;derelm;19161;middle;1567;static;0,9
der;derelm;19161;middle;1567;dynamic;0,06
der;derelm;19161;right;150;pictures;0,06
der;derelm;19161;right;150;static;0,81
der;derelm;19161;right;150;dynamic;0,13
der;derelm;19175;left;321;pictures;0
der;derelm;19175;left;321;static;1
der;derelm;19175;left;321;dynamic;0
der;derelm;19175;middle;237;pictures;0,3
der;derelm;19175;middle;237;static;0,51
der;derelm;19175;middle;237;dynamic;0,19
der;derelm;19175;right;290;pictures;0
der;derelm;19175;right;290;static;1
der;derelm;19175;right;290;dynamic;0
ear;casear;19063;left;185;pictures;0,19
ear;casear;19063;left;185;static;0,62
ear;casear;19063;left;185;dynamic;0,19
ear;casear;19063;middle;162;pictures;0,06
ear;casear;19063;middle;162;static;0,78
ear;casear;19063;middle;162;dynamic;0,15
ear;casear;19063;right;68;pictures;0,34
ear;casear;19063;right;68;static;0,59
ear;casear;19063;right;68;dynamic;0,07
ear;casear;19070;left;134;pictures;0,12
ear;casear;19070;left;134;static;0,72
ear;casear;19070;left;134;dynamic;0,16
ear;casear;19070;middle;451;pictures;0,12
ear;casear;19070;middle;451;static;0,56
ear;casear;19070;middle;451;dynamic;0,32
ear;casear;19070;right;13;pictures;0,08
ear;casear;19070;right;13;static;0,85
ear;casear;19070;right;13;dynamic;0,08
ear;casear;19077;left;165;pictures;0,21
ear;casear;19077;left;165;static;0,61
ear;casear;19077;left;165;dynamic;0,18
ear;casear;19077;middle;284;pictures;0,14
ear;casear;19077;middle;284;static;0,58
ear;casear;19077;middle;284;dynamic;0,27
ear;casear;19077;right;4;pictures;0,25
ear;casear;19077;right;4;static;0,75
ear;casear;19077;right;4;dynamic;0
ear;casear;19084;left;205;pictures;0,38
ear;casear;19084;left;205;static;0,37
ear;casear;19084;left;205;dynamic;0,25
ear;casear;19084;middle;895;pictures;0
ear;casear;19084;middle;895;static;0,64
ear;casear;19084;middle;895;dynamic;0,36
ear;casear;19084;right;113;pictures;0,01
ear;casear;19084;right;113;static;0,96
ear;casear;19084;right;113;dynamic;0,04
ear;casear;19091;left;70;pictures;0,31
ear;casear;19091;left;70;static;0,34
ear;casear;19091;left;70;dynamic;0,34
ear;casear;19091;middle;617;pictures;0,08
ear;casear;19091;middle;617;static;0,88
ear;casear;19091;middle;617;dynamic;0,03
ear;casear;19091;right;5;pictures;0,4
ear;casear;19091;right;5;static;0
ear;casear;19091;right;5;dynamic;0,6
ear;casear;19098;left;83;pictures;0,1
ear;casear;19098;left;83;static;0,82
ear;casear;19098;left;83;dynamic;0,08
ear;casear;19098;middle;667;pictures;0,04
ear;casear;19098;middle;667;static;0,65
ear;casear;19098;middle;667;dynamic;0,32
ear;casear;19098;right;5;pictures;0,6
ear;casear;19098;right;5;static;0
ear;casear;19098;right;5;dynamic;0,4
ear;casear;19105;left;42;pictures;0,24
ear;casear;19105;left;42;static;0,55
ear;casear;19105;left;42;dynamic;0,21
ear;casear;19105;middle;557;pictures;0
ear;casear;19105;middle;557;static;0,82
ear;casear;19105;middle;557;dynamic;0,18
ear;casear;19105;right;8;pictures;0,38
ear;casear;19105;right;8;static;0,62
ear;casear;19105;right;8;dynamic;0
ear;casear;19112;left;66;pictures;0,47
ear;casear;19112;left;66;static;0,44
ear;casear;19112;left;66;dynamic;0,09
ear;casear;19112;middle;320;pictures;0,08
ear;casear;19112;middle;320;static;0,36
ear;casear;19112;middle;320;dynamic;0,56
ear;casear;19112;right;2;pictures;0,5
ear;casear;19112;right;2;static;0,5
ear;casear;19112;right;2;dynamic;0
ear;casear;19119;left;34;pictures;0,32
ear;casear;19119;left;34;static;0,68
ear;casear;19119;left;34;dynamic;0
ear;casear;19119;middle;240;pictures;0,03
ear;casear;19119;middle;240;static;0,66
ear;casear;19119;middle;240;dynamic;0,32
ear;casear;19119;right;8;pictures;0
ear;casear;19119;right;8;static;0,88
ear;casear;19119;right;8;dynamic;0,12
elm;derelm;19126;left;54;pictures;0,04
elm;derelm;19126;left;54;static;0,11
elm;derelm;19126;left;54;dynamic;0,85
elm;derelm;19126;middle;75;pictures;0
elm;derelm;19126;middle;75;static;0,92
elm;derelm;19126;middle;75;dynamic;0,08
elm;derelm;19126;right;86;pictures;0,86
elm;derelm;19126;right;86;static;0,07
elm;derelm;19126;right;86;dynamic;0,07
elm;derelm;19133;left;308;pictures;0,04
elm;derelm;19133;left;308;static;0,91
elm;derelm;19133;left;308;dynamic;0,05
elm;derelm;19133;middle;1106;pictures;0,03
elm;derelm;19133;middle;1106;static;0,88
elm;derelm;19133;middle;1106;dynamic;0,09
elm;derelm;19133;right;494;pictures;0,15
elm;derelm;19133;right;494;static;0,73
elm;derelm;19133;right;494;dynamic;0,12
elm;derelm;19140;left;690;pictures;0,06
elm;derelm;19140;left;690;static;0,84
elm;derelm;19140;left;690;dynamic;0,1
elm;derelm;19140;middle;461;pictures;0,02
elm;derelm;19140;middle;461;static;0,87
elm;derelm;19140;middle;461;dynamic;0,11
elm;derelm;19140;right;79;pictures;0,05
elm;derelm;19140;right;79;static;0,95
elm;derelm;19140;right;79;dynamic;0
elm;derelm;19147;left;556;pictures;0,02
elm;derelm;19147;left;556;static;0,95
elm;derelm;19147;left;556;dynamic;0,03
elm;derelm;19147;middle;637;pictures;0,01
elm;derelm;19147;middle;637;static;0,97
elm;derelm;19147;middle;637;dynamic;0,03
elm;derelm;19147;right;387;pictures;0
elm;derelm;19147;right;387;static;0,96
elm;derelm;19147;right;387;dynamic;0,04
elm;derelm;19154;left;311;pictures;0,01
elm;derelm;19154;left;311;static;0,99
elm;derelm;19154;left;311;dynamic;0
elm;derelm;19154;middle;1000;pictures;0,01
elm;derelm;19154;middle;1000;static;0,96
elm;derelm;19154;middle;1000;dynamic;0,03
elm;derelm;19154;right;232;pictures;0,03
elm;derelm;19154;right;232;static;0,95
elm;derelm;19154;right;232;dynamic;0,02
elm;derelm;19161;left;771;pictures;0
elm;derelm;19161;left;771;static;1
elm;derelm;19161;left;771;dynamic;0
elm;derelm;19161;middle;778;pictures;0,02
elm;derelm;19161;middle;778;static;0,97
elm;derelm;19161;middle;778;dynamic;0
elm;derelm;19161;right;392;pictures;0,01
elm;derelm;19161;right;392;static;0,98
elm;derelm;19161;right;392;dynamic;0,01
elm;derelm;19175;left;152;pictures;0
elm;derelm;19175;left;152;static;1
elm;derelm;19175;left;152;dynamic;0
elm;derelm;19175;middle;551;pictures;0
elm;derelm;19175;middle;551;static;1
elm;derelm;19175;middle;551;dynamic;0
elm;derelm;19175;right;87;pictures;0,02
elm;derelm;19175;right;87;static;0,98
elm;derelm;19175;right;87;dynamic;0
hei;heilotpansan;19161;left;25;pictures;0
hei;heilotpansan;19161;left;25;static;0,88
hei;heilotpansan;19161;left;25;dynamic;0,12
hei;heilotpansan;19161;middle;21;pictures;0,86
hei;heilotpansan;19161;middle;21;static;0,1
hei;heilotpansan;19161;middle;21;dynamic;0,05
hei;heilotpansan;19161;right;30;pictures;0,53
hei;heilotpansan;19161;right;30;static;0,07
hei;heilotpansan;19161;right;30;dynamic;0,4
hei;heilotpansan;19168;left;520;pictures;0,01
hei;heilotpansan;19168;left;520;static;0,98
hei;heilotpansan;19168;left;520;dynamic;0,01
hei;heilotpansan;19168;middle;27;pictures;0,22
hei;heilotpansan;19168;middle;27;static;0,22
hei;heilotpansan;19168;middle;27;dynamic;0,56
hei;heilotpansan;19168;right;232;pictures;0,72
hei;heilotpansan;19168;right;232;static;0,12
hei;heilotpansan;19168;right;232;dynamic;0,16
hei;heilotpansan;19175;left;706;pictures;0,14
hei;heilotpansan;19175;left;706;static;0,8
hei;heilotpansan;19175;left;706;dynamic;0,06
hei;heilotpansan;19175;middle;185;pictures;0,04
hei;heilotpansan;19175;middle;185;static;0,66
hei;heilotpansan;19175;middle;185;dynamic;0,3
hei;heilotpansan;19175;right;175;pictures;0,11
hei;heilotpansan;19175;right;175;static;0,81
hei;heilotpansan;19175;right;175;dynamic;0,08
hei;heilotpansan;19189;left;153;pictures;0,02
hei;heilotpansan;19189;left;153;static;0,95
hei;heilotpansan;19189;left;153;dynamic;0,03
hei;heilotpansan;19189;middle;248;pictures;0,26
hei;heilotpansan;19189;middle;248;static;0,52
hei;heilotpansan;19189;middle;248;dynamic;0,22
hei;heilotpansan;19189;right;154;pictures;0,18
hei;heilotpansan;19189;right;154;static;0,5
hei;heilotpansan;19189;right;154;dynamic;0,32
hei;heilotpansan;19196;left;95;pictures;0,26
hei;heilotpansan;19196;left;95;static;0,57
hei;heilotpansan;19196;left;95;dynamic;0,17
hei;heilotpansan;19196;middle;658;pictures;0,04
hei;heilotpansan;19196;middle;658;static;0,88
hei;heilotpansan;19196;middle;658;dynamic;0,08
hei;heilotpansan;19196;right;53;pictures;0,4
hei;heilotpansan;19196;right;53;static;0,45
hei;heilotpansan;19196;right;53;dynamic;0,15
hei;heilotpansan;19203;left;212;pictures;0,02
hei;heilotpansan;19203;left;212;static;0,92
hei;heilotpansan;19203;left;212;dynamic;0,06
hei;heilotpansan;19203;middle;561;pictures;0,14
hei;heilotpansan;19203;middle;561;static;0,6
hei;heilotpansan;19203;middle;561;dynamic;0,26
hei;heilotpansan;19203;right;148;pictures;0,14
hei;heilotpansan;19203;right;148;static;0,74
hei;heilotpansan;19203;right;148;dynamic;0,13
lot;heilotpansan;19161;left;266;pictures;0,31
lot;heilotpansan;19161;left;266;static;0,27
lot;heilotpansan;19161;left;266;dynamic;0,42
lot;heilotpansan;19161;middle;451;pictures;0,06
lot;heilotpansan;19161;middle;451;static;0,29
lot;heilotpansan;19161;middle;451;dynamic;0,65
lot;heilotpansan;19161;right;161;pictures;0,86
lot;heilotpansan;19161;right;161;static;0,04
lot;heilotpansan;19161;right;161;dynamic;0,11
lot;heilotpansan;19168;left;145;pictures;0,66
lot;heilotpansan;19168;left;145;static;0,03
lot;heilotpansan;19168;left;145;dynamic;0,32
lot;heilotpansan;19168;middle;512;pictures;0,32
lot;heilotpansan;19168;middle;512;static;0,58
lot;heilotpansan;19168;middle;512;dynamic;0,1
lot;heilotpansan;19168;right;124;pictures;0,16
lot;heilotpansan;19168;right;124;static;0,01
lot;heilotpansan;19168;right;124;dynamic;0,83
lot;heilotpansan;19175;left;346;pictures;0,61
lot;heilotpansan;19175;left;346;static;0,16
lot;heilotpansan;19175;left;346;dynamic;0,23
lot;heilotpansan;19175;middle;274;pictures;0,31
lot;heilotpansan;19175;middle;274;static;0,4
lot;heilotpansan;19175;middle;274;dynamic;0,3
lot;heilotpansan;19175;right;122;pictures;0,89
lot;heilotpansan;19175;right;122;static;0,06
lot;heilotpansan;19175;right;122;dynamic;0,06
lot;heilotpansan;19189;left;277;pictures;0,29
lot;heilotpansan;19189;left;277;static;0,24
lot;heilotpansan;19189;left;277;dynamic;0,47
lot;heilotpansan;19189;middle;40;pictures;0
lot;heilotpansan;19189;middle;40;static;0,35
lot;heilotpansan;19189;middle;40;dynamic;0,65
lot;heilotpansan;19189;right;6;pictures;1
lot;heilotpansan;19189;right;6;static;0
lot;heilotpansan;19189;right;6;dynamic;0
lot;heilotpansan;19196;left;317;pictures;0,53
lot;heilotpansan;19196;left;317;static;0,3
lot;heilotpansan;19196;left;317;dynamic;0,17
lot;heilotpansan;19196;middle;337;pictures;0,11
lot;heilotpansan;19196;middle;337;static;0,26
lot;heilotpansan;19196;middle;337;dynamic;0,63
lot;heilotpansan;19196;right;38;pictures;0,68
lot;heilotpansan;19196;right;38;static;0,18
lot;heilotpansan;19196;right;38;dynamic;0,13
lot;heilotpansan;19203;left;299;pictures;0,29
lot;heilotpansan;19203;left;299;static;0,53
lot;heilotpansan;19203;left;299;dynamic;0,18
lot;heilotpansan;19203;middle;311;pictures;0,25
lot;heilotpansan;19203;middle;311;static;0,54
lot;heilotpansan;19203;middle;311;dynamic;0,21
lot;heilotpansan;19203;right;31;pictures;0,65
lot;heilotpansan;19203;right;31;static;0,13
lot;heilotpansan;19203;right;31;dynamic;0,23
nat;natvin;19063;left;136;pictures;0,12
