animal;group;selection_position;z.session_relative;session;trials;selection;estimate
san;heilotpansan;middle;0.541769408;4;152;static;0.55
san;heilotpansan;middle;0.541769408;4;152;dynamic;0.44
san;heilotpansan;middle;1.135352509;5;173;pictures;0.1
san;heilotpansan;middle;1.135352509;5;173;static;0.49
san;heilotpansan;middle;1.135352509;5;173;dynamic;0.41
san;heilotpansan;middle;1.728935609;6;303;pictures;0.06
san;heilotpansan;middle;1.728935609;6;303;static;0.38
san;heilotpansan;middle;1.728935609;6;303;dynamic;0.56
san;heilotpansan;right;-1.238979894;1;60;pictures;0.23
san;heilotpansan;right;-1.238979894;1;60;static;0.07
san;heilotpansan;right;-1.238979894;1;60;dynamic;0.7
san;heilotpansan;right;-0.645396793;2;72;pictures;0.03
san;heilotpansan;right;-0.645396793;2;72;static;0
san;heilotpansan;right;-0.645396793;2;72;dynamic;0.97
san;heilotpansan;right;-0.051813693;3;36;pictures;0.14
san;heilotpansan;right;-0.051813693;3;36;static;0.25
san;heilotpansan;right;-0.051813693;3;36;dynamic;0.61
san;heilotpansan;right;0.541769408;4;6;pictures;0.33
san;heilotpansan;right;0.541769408;4;6;static;0
san;heilotpansan;right;0.541769408;4;6;dynamic;0.67
san;heilotpansan;right;1.135352509;5;35;pictures;0.09
san;heilotpansan;right;1.135352509;5;35;static;0.09
san;heilotpansan;right;1.135352509;5;35;dynamic;0.83
san;heilotpansan;right;1.728935609;6;66;pictures;0.17
san;heilotpansan;right;1.728935609;6;66;static;0.23
san;heilotpansan;right;1.728935609;6;66;dynamic;0.61
vin;natvin;left;-1.238979894;1;528;pictures;0.18
vin;natvin;left;-1.238979894;1;528;static;0.61
vin;natvin;left;-1.238979894;1;528;dynamic;0.21
vin;natvin;left;-0.645396793;2;266;pictures;0.05
vin;natvin;left;-0.645396793;2;266;static;0.91
vin;natvin;left;-0.645396793;2;266;dynamic;0.05
vin;natvin;left;-0.051813693;3;149;pictures;0.03
vin;natvin;left;-0.051813693;3;149;static;0.95
vin;natvin;left;-0.051813693;3;149;dynamic;0.01
vin;natvin;left;0.541769408;4;97;pictures;0.01
vin;natvin;left;0.541769408;4;97;static;0.94
vin;natvin;left;0.541769408;4;97;dynamic;0.05
vin;natvin;left;1.135352509;5;12;pictures;0
vin;natvin;left;1.135352509;5;12;static;1
vin;natvin;left;1.135352509;5;12;dynamic;0
vin;natvin;left;1.728935609;6;95;pictures;0.01
vin;natvin;left;1.728935609;6;95;static;0.97
vin;natvin;left;1.728935609;6;95;dynamic;0.02
vin;natvin;middle;-1.238979894;1;569;pictures;0.09
vin;natvin;middle;-1.238979894;1;569;static;0.64
vin;natvin;middle;-1.238979894;1;569;dynamic;0.27
vin;natvin;middle;-0.645396793;2;620;pictures;0.07
vin;natvin;middle;-0.645396793;2;620;static;0.8
vin;natvin;middle;-0.645396793;2;620;dynamic;0.13
vin;natvin;middle;-0.051813693;3;432;pictures;0
vin;natvin;middle;-0.051813693;3;432;static;0.97
vin;natvin;middle;-0.051813693;3;432;dynamic;0.03
vin;natvin;middle;0.541769408;4;291;pictures;0
vin;natvin;middle;0.541769408;4;291;static;0.83
vin;natvin;middle;0.541769408;4;291;dynamic;0.17
vin;natvin;middle;1.135352509;5;44;pictures;0.02
vin;natvin;middle;1.135352509;5;44;static;0.95
vin;natvin;middle;1.135352509;5;44;dynamic;0.02
vin;natvin;middle;1.728935609;6;192;pictures;0.01
vin;natvin;middle;1.728935609;6;192;static;0.68
vin;natvin;middle;1.728935609;6;192;dynamic;0.31
vin;natvin;right;-1.238979894;1;143;pictures;0.2
vin;natvin;right;-1.238979894;1;143;static;0.59
vin;natvin;right;-1.238979894;1;143;dynamic;0.22
vin;natvin;right;-0.645396793;2;140;pictures;0.14
vin;natvin;right;-0.645396793;2;140;static;0.76
vin;natvin;right;-0.645396793;2;140;dynamic;0.1
vin;natvin;right;-0.051813693;3;71;pictures;0.03
vin;natvin;right;-0.051813693;3;71;static;0.9
vin;natvin;right;-0.051813693;3;71;dynamic;0.07
vin;natvin;right;0.541769408;4;14;pictures;0.29
vin;natvin;right;0.541769408;4;14;static;0.64
vin;natvin;right;0.541769408;4;14;dynamic;0.07
vin;natvin;right;1.135352509;5;3;pictures;0.33
vin;natvin;right;1.135352509;5;3;static;0
vin;natvin;right;1.135352509;5;3;dynamic;0.67
vin;natvin;right;1.728935609;6;76;pictures;0.07
vin;natvin;right;1.728935609;6;76;static;0.92
vin;natvin;right;1.728935609;6;76;dynamic;0.01
