animal;num_sessions;total_trials
al;6;13068
cl;6;2229
ba;5;3364
ni;5;1997
ca;6;3538
ea;6;3937
cu;5;491
pi;5;1119
de;6;6922
el;6;8992
he;6;4203
lo;6;4057
pa;6;1380
sa;6;1697
na;6;436
vi;6;1588
